SMILES,RET
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.11908239
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.20428938
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.20428938
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.20428938
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.20428938
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.2450713
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.30343276
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.18375896
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.26266462
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.14861302
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.25704828
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.15641026
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.15641026
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.12436201
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.12436201
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.12436201
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.12436201
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.21726881
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.23840955
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.27122805
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.16587716
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.16587716
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.25396118
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.3273525
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.12844087
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.12844087
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.23780078
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.23780078
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.15877794
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.15877794
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.15219855
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.15219855
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.32170627
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.17965922
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.17965922
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.17965922
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.17965922
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.14199021
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.14199021
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.14199021
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.14199021
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.24450336
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.24450336
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.24450336
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.24450336
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.14713709
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.14713709
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.1495907
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.18105628
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.27803665
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.20451201
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.19673267
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.19673267
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.16802531
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.16802531
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.16802531
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.16802531
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.18909834
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.13048692
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.13048692
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.3466767
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.24611633
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.13423496
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.13423496
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.1757868
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.1757868
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.1757868
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.1757868
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.18518366
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.18518366
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.17448613
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.17448613
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.17448613
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.17448613
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.1981492
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.22267884
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.2337642
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.21489906
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.21489906
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.2704935
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.2998374
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.23091806
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.24198678
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.24198678
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.24198678
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.24198678
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.23277867
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.21435262
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.23771708
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.18898769
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.18898769
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.18898769
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.18898769
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.13337842
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.13337842
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.13337842
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.13337842
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.18342407
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.18342407
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.18342407
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.18342407
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.18724231
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.18724231
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.2429317
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.17738955
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.17738955
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.17738955
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.17738955
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.23212588
