SMILES,C5AR1
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.27233306
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.27233306
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.1771645
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.08470435
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.17672665
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.11520587
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.11520587
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.11520587
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.11520587
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.16579401
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.2429058
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.20309079
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.053219847
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.053219847
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.053219847
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.053219847
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.14589468
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.14589468
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.14589468
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.14589468
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.13844
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.13844
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.13844
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.13844
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.22669941
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.22669941
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.14456715
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.09364566
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.09364566
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.09364566
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.09364566
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.10937835
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.10937835
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.10937835
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.10937835
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.22642624
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.22642624
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22642624
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22642624
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16369349
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.16369349
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.16369349
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16369349
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.24835226
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.24835226
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.24835226
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.24835226
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16494437
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16494437
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.16494437
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.16494437
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.1208508
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1208508
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1208508
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.1208508
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.065180086
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.065180086
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.065180086
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.065180086
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.222383
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.222383
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.2757568
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.11279373
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.11279373
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.11279373
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.11279368
