SMILES,BACE1
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2947199
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2947199
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2947199
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.7742745
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.7742745
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.7742745
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.7742745
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.71469754
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.71469754
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.71469754
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.71469754
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.689504
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.689504
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.689504
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.689504
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.4421777
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.4421777
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.4421777
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.4421777
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.82017237
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.82017237
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.82017237
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.82017237
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.11269132
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.11269132
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.009988577
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.73817563
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.73817563
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.73817563
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.7381757
