SMILES,MMP1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.012623006
Oc1nc(c2ccccc2C2CC2)no1,0.0040749107
Clc1cc(c2ccccc2C2CC2)no1,0.0037488348
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.066747606
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.066747606
OCc1cc(c2ccccc2C2CC2)no1,0.006195788
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.034560565
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.03771942
O[C@H](c1ccccc1C1CC1)C1CNC1,0.03771942
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.02762777
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.02762777
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.04762002
NC1CN(Cc2ccccc2C2CC2)C1,0.04245459
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.009555094
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.015064914
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.0010894404
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.0010894404
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.039544556
N[C@H](c1ccccc1C1CCC1)C1CC1,0.039544556
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.080539204
O[C@H](c1ccccc1C1CCC1)C1CC1,0.080539204
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.065187395
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.004814539
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.015788874
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.015788874
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.043978203
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.005525637
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.010554273
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.005315545
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.04738134
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.04738134
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.04738134
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.0040885084
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.04738134
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.0778065
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.0778065
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.0778065
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.0778065
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.00827719
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.04829774
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.04829774
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.04829774
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.04829774
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.075035505
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.075035505
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.075035505
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.075035505
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.002612168
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.002612168
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.043383636
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.043383636
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.043383636
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.043383636
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.04169797
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.0156662
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.0156662
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.004452872
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.004452872
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.0036677453
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09071548
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09071548
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.09071548
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.09071548
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.2542715
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.2542715
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.2113258
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.2113258
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.056757346
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.056757346
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.061251603
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.061251603
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.04288358
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.04288358
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.04288358
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.061251603
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.061251603
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.04288358
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.017039157
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.0056283646
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.10294798
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.10294798
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.07262929
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.07262929
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.13082607
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.13082607
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.13082607
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.13082607
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.19091575
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.19091575
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.08259658
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.08259658
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.08259658
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.08259658
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.034539763
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.007897866
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.025315007
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.034090888
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.0042420123
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.00637735
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.032837696
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.032837696
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.054846648
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.054846648
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.054846648
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.054846648
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.004514745
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.008846829
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.0035219688
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.035318717
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.035318717
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.0054469393
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.006519837
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.036300365
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.036300365
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.07909306
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.07909306
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.118732825
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.118732825
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.12017799
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.12017799
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.010124608
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.020712625
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.020712625
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.020712625
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.020712625
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.28337696
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.28337696
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.28337696
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.28337696
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.06833805
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.06833805
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.06833805
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.06833805
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.19361162
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.19361162
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.008176855
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.015538716
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.09882285
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.13877231
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.059057288
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.059057288
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.04866185
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.04866185
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.04866185
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.04866185
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.013362514
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.01873734
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.01873734
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.0077856476
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.018114999
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.1249268
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.1249268
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.012092312
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.012092312
