SMILES,CCR2
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.0077328924
Oc1nc(c2ccccc2C2CC2)no1,0.044149827
Clc1cc(c2ccccc2C2CC2)no1,0.1339106
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.13078828
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.13078828
OCc1cc(c2ccccc2C2CC2)no1,0.07398339
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.02638775
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.42850703
O[C@H](c1ccccc1C1CC1)C1CNC1,0.42850703
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.09222134
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.09222134
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.025058864
NC1CN(Cc2ccccc2C2CC2)C1,0.24117196
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.06028115
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.073882684
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.108095326
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.108095326
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.058382608
N[C@H](c1ccccc1C1CCC1)C1CC1,0.058382608
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.25313514
O[C@H](c1ccccc1C1CCC1)C1CC1,0.25313514
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.04390356
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.02589187
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.06521511
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.06521511
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.15115888
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.034234058
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.13268746
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.0069034654
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.17195144
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.17195144
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.17195144
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.03299458
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.17195144
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.12456897
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.12456897
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.12456897
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.12456897
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.062189277
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.14204726
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14204726
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14204726
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.14204726
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.21676356
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.21676356
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.21676356
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.21676356
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.102040775
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.102040775
