SMILES,HDAC2
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.23226982
Oc1nc(c2ccccc2C2CC2)no1,0.25333598
Clc1cc(c2ccccc2C2CC2)no1,0.11500561
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.25021535
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.25021535
OCc1cc(c2ccccc2C2CC2)no1,0.16830347
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.14226806
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.1619563
O[C@H](c1ccccc1C1CC1)C1CNC1,0.1619563
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.15141854
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.15141854
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.23024201
NC1CN(Cc2ccccc2C2CC2)C1,0.2734734
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.15634246
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.08935
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.091637224
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.091637224
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.12153463
N[C@H](c1ccccc1C1CCC1)C1CC1,0.12153463
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.1555069
O[C@H](c1ccccc1C1CCC1)C1CC1,0.1555069
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.18913138
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.1413005
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.13669136
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.13669136
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.12630919
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.10223624
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.08756882
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.17827897
