SMILES,CCR5
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.002883342
Oc1nc(c2ccccc2C2CC2)no1,0.006106993
Clc1cc(c2ccccc2C2CC2)no1,0.011864855
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.091423504
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.091423504
OCc1cc(c2ccccc2C2CC2)no1,0.0029735183
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.02810525
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.19738898
O[C@H](c1ccccc1C1CC1)C1CNC1,0.19738898
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.021137971
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.021137971
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.016835527
NC1CN(Cc2ccccc2C2CC2)C1,0.15627125
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.03644138
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.0580486
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.010520734
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.010520734
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.13921566
N[C@H](c1ccccc1C1CCC1)C1CC1,0.13921566
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.2030611
O[C@H](c1ccccc1C1CCC1)C1CC1,0.2030611
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.0660544
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.13340142
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.015611111
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.015611111
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.041841455
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.14418495
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.04450338
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.0861563
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.0545272
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.0545272
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.0545272
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.023264274
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.0545272
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.05097716
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.05097716
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.05097716
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.05097716
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.079785794
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.049582757
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.049582757
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.049582757
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.049582757
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.061131965
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.061131965
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.061131965
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.061131965
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.02256357
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.02256357
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.019477362
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.019477362
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.019477362
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.019477362
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.15375783
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.02428635
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.02428635
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.027104244
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.027104244
