SMILES,DRD2
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.0060114237
Oc1nc(c2ccccc2C2CC2)no1,0.7868692
Clc1cc(c2ccccc2C2CC2)no1,0.8353647
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.9937721
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.9937721
OCc1cc(c2ccccc2C2CC2)no1,0.3738171
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.8251855
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.8293533
O[C@H](c1ccccc1C1CC1)C1CNC1,0.8293533
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.99466276
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.99466276
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.4049146
NC1CN(Cc2ccccc2C2CC2)C1,0.9973484
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.946852
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.95463645
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.023599619
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.023599619
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.8523691
N[C@H](c1ccccc1C1CCC1)C1CC1,0.8523691
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.90177995
O[C@H](c1ccccc1C1CCC1)C1CC1,0.90177995
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.0975255
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.8426696
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.9327293
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.9327293
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.5932003
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.76629734
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.7958321
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.28863314
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.9912469
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.9912469
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.9912469
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.10153845
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.9912469
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.92512584
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.92512584
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.92512584
