SMILES,CDK2
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.25740942
Oc1nc(c2ccccc2C2CC2)no1,0.16580509
Clc1cc(c2ccccc2C2CC2)no1,0.33730984
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.25598162
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.25598162
OCc1cc(c2ccccc2C2CC2)no1,0.6270965
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.6321049
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.49420005
O[C@H](c1ccccc1C1CC1)C1CNC1,0.49420005
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.35410783
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.35410783
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.39221138
NC1CN(Cc2ccccc2C2CC2)C1,0.1768867
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.28498438
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.45217952
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.24769147
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.24769147
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.32097676
N[C@H](c1ccccc1C1CCC1)C1CC1,0.32097676
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.35098496
O[C@H](c1ccccc1C1CCC1)C1CC1,0.35098496
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.6122486
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.23741286
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.41186407
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.41186407
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.6693371
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.31348088
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.42438132
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.5170403
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.1753955
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.1753955
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.1753955
