SMILES,TYRO3
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.41004354
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.35953066
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.35953066
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.35953066
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.35953066
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.5826859
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.6983789
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.5588883
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.57775456
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.36991766
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.54247195
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.5650949
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.5650949
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.56925476
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.56925476
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.56925476
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.56925476
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.44861037
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.45940483
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.58773726
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.6144158
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.6144158
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.62353563
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.6129447
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.6120633
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.6120633
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.48229417
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.48229417
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.5045322
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.5045322
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.33532253
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.33532253
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.63886744
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.6135677
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.6135677
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.6135677
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.6135677
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.49228463
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.49228463
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.49228463
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.49228463
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.57598954
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.57598954
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.57598954
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.57598954
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.37011185
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.37011185
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.35771862
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.35081902
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.5147468
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.36098194
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.484155
