SMILES,BRAF
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.22618309
Oc1nc(c2ccccc2C2CC2)no1,0.102735415
Clc1cc(c2ccccc2C2CC2)no1,0.1487352
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.032043096
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.032043096
OCc1cc(c2ccccc2C2CC2)no1,0.16754548
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.20610808
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.045327492
O[C@H](c1ccccc1C1CC1)C1CNC1,0.045327492
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.13707322
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.13707322
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.12761845
NC1CN(Cc2ccccc2C2CC2)C1,0.031061757
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.16806518
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.20901348
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.07061101
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.07061101
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.034589857
N[C@H](c1ccccc1C1CCC1)C1CC1,0.034589857
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.04130868
O[C@H](c1ccccc1C1CCC1)C1CC1,0.04130868
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.06555109
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.11346384
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.13206096
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.13206096
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.08507383
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.05440048
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.1296092
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.04407557
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.11193475
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.11193475
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.11193475
