SMILES,TTK
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.08791577
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.1158564
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.1158564
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.1158564
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.1158564
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.089767836
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.03190912
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.034934364
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.04605068
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.116065316
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.06166922
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.06541711
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.06541711
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.04821717
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.04821717
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.04821717
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.04821717
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.071177125
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.058202427
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.03475655
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.051673055
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.051673055
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.046546854
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.080843054
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.056225922
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.056225922
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.036931626
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.036931626
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.040680073
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.040680073
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.1549349
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.1549349
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.039589804
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.05279746
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.05279746
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.05279746
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.05279746
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.08677019
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.08677019
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.08677019
