SMILES,PTAFR
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.50916505
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.08465771
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.08465771
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.08465771
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.08465771
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.057427242
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.57502884
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.4519838
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.07991129
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.024582485
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.2725179
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.18605055
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.18605055
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.055646293
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.055646293
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.055646293
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.055646293
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.22940543
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.15423359
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.10598552
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.044266846
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.044266846
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.04129977
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.02785464
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.23911862
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.23911862
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.4999843
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.4999843
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.1273241
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.1273241
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.26141024
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.26141024
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.060449854
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.31305808
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.31305808
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.31305808
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.31305808
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.40269935
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.40269935
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.40269935
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.40269935
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.35696915
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.35696915
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.35696915
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.35696915
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.72460455
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.72460455
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.0051647117
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.09821048
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.22530665
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.36571622
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.40878165
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.40878165
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.06725435
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.06725435
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.06725435
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.06725435
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.11654574
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.14655147
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.14655147
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.16958259
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.06571653
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.26850632
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.26850632
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.1988647
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.1988647
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.1988647
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.1988647
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.12384561
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.12384561
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.4191932
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.4191932
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.4191932
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.4191932
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.1057903
