SMILES,ABL1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.26513195
Oc1nc(c2ccccc2C2CC2)no1,0.03052161
Clc1cc(c2ccccc2C2CC2)no1,0.08790748
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.075765654
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.075765654
OCc1cc(c2ccccc2C2CC2)no1,0.046736963
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.027875561
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.03071321
O[C@H](c1ccccc1C1CC1)C1CNC1,0.03071321
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.058887437
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.058887437
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.03668801
NC1CN(Cc2ccccc2C2CC2)C1,0.09562994
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.08910876
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.123684876
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.07498507
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.07498507
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.0719013
N[C@H](c1ccccc1C1CCC1)C1CC1,0.0719013
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.041931022
O[C@H](c1ccccc1C1CCC1)C1CC1,0.041931022
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.11061006
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.14685452
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.063693695
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.063693695
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.2163832
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.050248373
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.16784702
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.05700501
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.045135777
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.045135777
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.045135777
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.23124114
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.045135777
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.03916967
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.03916967
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.03916967
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.03916967
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.09612214
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.040593013
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.040593013
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.040593013
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.040593013
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.10246602
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.10246602
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.10246602
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.10246602
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.05086148
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.05086148
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.12953383
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.12953383
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.12953383
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.12953383
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.119339794
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.10085032
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.10085032
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.043707497
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.043707497
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.2633622
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.033862848
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.033862848
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.033862848
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.033862848
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.040646274
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.040646274
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.013771744
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.013771744
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.10148591
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.10148591
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.089237496
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.089237496
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.034861583
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.034861583
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.034861583
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.089237496
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.089237496
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.034861583
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.10301095
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.043647658
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.057962302
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.057962302
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.029965486
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.029965486
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.042914897
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.042914897
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.042914897
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.042914897
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.0467535
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.0467535
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.026790414
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.026790414
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.026790414
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.026790414
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.08707935
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.07099535
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.067627065
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.102997094
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.057386536
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.04301998
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.072860345
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.072860345
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.033360414
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.033360414
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.033360414
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.033360414
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.049851716
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.23989652
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.039627895
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.07444532
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.07444532
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.055134762
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.04622504
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.045991465
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.045991465
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.10010343
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.10010343
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.05506469
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.05506469
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.02907719
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.02907719
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.0418467
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.022014517
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.022014517
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.022014517
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.022014517
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.028314894
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.028314894
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.028314894
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.028314894
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.17112617
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.17112617
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.17112617
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.17112617
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.013969496
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.013969496
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.051279567
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.025720058
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.054230396
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.050172355
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.030942243
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.030942243
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.06154066
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.06154066
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.06154066
