SMILES,ZAP70
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.17362763
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.20186824
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.20186824
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.20186824
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.20186824
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.12593862
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.14498408
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.13113585
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.19905466
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.19643752
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.1750209
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.17012693
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.17012693
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.29899213
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.29899213
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.29899213
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.29899213
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.21409023
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.14487086
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.18830632
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.22461584
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.22461584
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.104327
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.14399216
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.16674997
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.16674997
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.11494046
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.11494046
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.24094598
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.24094598
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.18062969
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.18062969
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.15920074
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.19882911
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.19882911
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.19882911
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.19882911
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.18521325
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.18521325
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.18521325
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.18521325
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.1828693
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.1828693
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.1828693
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.1828693
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.2348041
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.2348041
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.14157769
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.2784148
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.18951733
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.22371323
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.16338915
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.16338915
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.2874739
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.2874739
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.2874739
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.2874739
