SMILES,SRC
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.04257789
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.015443363
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.015443363
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.015443363
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.015443363
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.04898475
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.050820757
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.08940136
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.16515797
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.028480258
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.082964815
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.13494167
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.13494167
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.04977337
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.04977337
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.04977337
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.04977337
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.0049688914
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.03891975
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.11545546
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.20150524
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.20150524
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.014762616
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.038564373
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.12050076
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.12050076
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.049958855
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.049958855
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.08557676
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.08557676
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.01153931
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.01153931
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.056521494
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.09654552
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.09654552
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.09654552
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.09654552
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.017934015
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.017934015
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.017934015
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.017934015
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.22500375
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.22500375
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.22500375
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.22500375
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.004076544
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.004076544
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.007218829
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.0053589046
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.08294684
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.116475604
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.027183823
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.027183823
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.17140129
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.17140129
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.17140129
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.17140129
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.15168288
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.15891583
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.15891583
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.023290014
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.109329246
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.020830467
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.020830467
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.0424352
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.0424352
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.0424352
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.0424352
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.021421527
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.021421527
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.066195235
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.066195235
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.066195235
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.066195235
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.09302134
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.14670947
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.057032615
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.045566436
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.045566436
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.08689845
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.053011447
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.06608463
