SMILES,RXRG
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.44874343
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.3153096
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.3153096
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.3153096
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.3153096
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.25951576
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.24641424
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.33785796
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.2882227
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.27370957
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.1994439
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.28329235
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.28329235
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.29650313
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.29650313
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.29650313
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.29650313
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.27671227
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.22192946
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.24649474
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.37900347
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.37900347
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.24548844
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.2585027
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.3260058
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.3260058
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.2695187
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.2695187
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.34810248
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.34810248
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.4371247
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.4371247
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.2275275
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.22000726
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.22000726
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.22000726
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.22000726
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.3322358
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.3322358
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.3322358
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.3322358
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.3137897
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.3137897
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.3137897
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.3137897
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.35112536
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.35112536
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.32546026
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.26369664
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.40228838
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.284563
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.22066064
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.22066064
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.31716856
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.31716856
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.31716856
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.31716856
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.24098891
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.3202547
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.3202547
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.25339633
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.23614565
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.38818607
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.38818607
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.30960461
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.30960461
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.30960461
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.30960461
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.29881564
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.29881564
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.23807007
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.23807007
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.23807007
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.23807007
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.4437173
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.2689508
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.19418895
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.21211869
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.21211869
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.43097842
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.3687337
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.37880573
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.238623
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.238623
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.238623
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.238623
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.2534511
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.45995468
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.3514438
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.26590052
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.26590052
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.26590052
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.26590052
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.33032563
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.33032563
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.33032563
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.33032563
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.2477074
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.2477074
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.2477074
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.2477074
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.3437145
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.3437145
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.22198226
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.27950996
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.27950996
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.27950996
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.27950996
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.24506834
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.24506834
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.24506834
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.24506834
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.24395469
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.24395469
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.24395469
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.24395469
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20512064
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.20512064
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.20512064
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20512064
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.30970147
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.30970147
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.30970147
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.30970147
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.19540374
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.19540374
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.19540374
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.19540374
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.19804403
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.19804403
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.19804403
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.19804403
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.22599803
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.22599803
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.22599803
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.22599803
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.4190466
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.4190466
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.41626692
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1825747
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.1825747
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.1825747
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.18257475
