SMILES,MET
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.69304156
Oc1nc(c2ccccc2C2CC2)no1,0.07133892
Clc1cc(c2ccccc2C2CC2)no1,0.092230126
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.053436723
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.053436723
OCc1cc(c2ccccc2C2CC2)no1,0.011053083
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.044481993
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.013263174
O[C@H](c1ccccc1C1CC1)C1CNC1,0.013263174
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.08443195
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.08443195
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.063119695
NC1CN(Cc2ccccc2C2CC2)C1,0.05791736
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.06697878
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.0423694
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.018841457
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.018841457
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.011678459
N[C@H](c1ccccc1C1CCC1)C1CC1,0.011678459
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.020232474
O[C@H](c1ccccc1C1CCC1)C1CC1,0.020232474
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.030109173
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.062461525
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.09589469
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.09589469
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.07843977
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.014819635
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.034358434
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.027756194
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.07811574
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.07811574
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.07811574
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.010021261
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.07811574
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.24264498
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.24264498
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.24264498
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.24264498
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.055299442
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.06374444
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06374444
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06374444
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.06374444
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.1372189
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.1372189
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.1372189
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.1372189
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.020841582
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.020841582
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.08395428
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.08395428
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.08395428
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.08395428
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.26840076
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.027651943
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.027651943
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.05273031
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.05273031
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.023172323
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06839002
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06839002
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.06839002
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.06839002
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.032553203
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.032553203
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.016345277
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.016345277
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.20666313
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.20666313
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.07623214
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.07623214
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.008310849
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.008310849
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.008310849
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.07623214
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.07623214
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.008310849
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.01832506
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.1002211
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.1282192
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.1282192
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.0099262735
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.0099262735
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.10151143
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.10151143
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.10151143
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.10151143
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.024997426
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.024997426
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.0640946
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.0640946
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.0640946
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.0640946
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.13663934
