SMILES,RXRA
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.22982287
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.12860595
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.12860595
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.12860595
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.12860595
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.064569786
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.062006053
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.28738007
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.05501316
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.17704877
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.055881917
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.09505642
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.09505642
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.10681844
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.10681844
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.10681844
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.10681844
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.10061851
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.051547877
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.04242991
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.26837078
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.26837078
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.06900269
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.082824215
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.29322976
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.29322976
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.042718094
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.042718094
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.25711194
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.25711194
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.40621743
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.40621743
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.066637546
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.08203236
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.08203236
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.08203236
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.08203236
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.25862262
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.25862262
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.25862262
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.25862262
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.16933675
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.16933675
