SMILES,CDC7
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.115531
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.09370122
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.09370122
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.07621553
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.06381907
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.11391889
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.11391889
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.05446514
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.05446514
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.05446514
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.05446514
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.24932626
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.24932626
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.054049272
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.054049272
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.054049272
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.054049272
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.11232597
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.060159814
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.11699216
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.060909294
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.060909294
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.13501672
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.04209464
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.11646275
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.046631306
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.046631306
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.046631306
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.046631306
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.14037332
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.15787691
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.109978616
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.10608695
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.10608695
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.10608695
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.10608695
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.070891194
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.070891194
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.070891194
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.070891194
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.08070564
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.08070564
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.08070564
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.08070564
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.102358535
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.102358535
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.17937048
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.059213907
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.059213907
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.059213907
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.059213907
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.07032205
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.07032205
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.07032205
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.07032205
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.12373223
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.12373223
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.12373223
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.12373223
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14635396
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.14635396
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.14635396
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14635396
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.030302946
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.030302946
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.030302946
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.030302946
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15764016
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15764016
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.15764016
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.15764016
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.18741573
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.18741573
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.18741573
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.18741573
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.07699466
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.07699466
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.07699466
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.07699466
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.108298264
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.108298264
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.07833633
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.087322235
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.087322235
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.087322235
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.08732226
