SMILES,CASP7
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.014025535
Oc1nc(c2ccccc2C2CC2)no1,0.08057146
Clc1cc(c2ccccc2C2CC2)no1,0.08443763
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.20289457
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.20289457
OCc1cc(c2ccccc2C2CC2)no1,0.08981721
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.07463607
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.07348945
O[C@H](c1ccccc1C1CC1)C1CNC1,0.07348945
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.10072783
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.10072783
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.10597037
NC1CN(Cc2ccccc2C2CC2)C1,0.20504037
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.09135908
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.06799106
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.0933334
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.0933334
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.08560546
N[C@H](c1ccccc1C1CCC1)C1CC1,0.08560546
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.11649264
O[C@H](c1ccccc1C1CCC1)C1CC1,0.11649264
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.0724201
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.050334506
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.07611028
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.07611028
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.10421511
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.038345158
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.08806989
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.024531862
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.10003103
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.10003103
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.10003103
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.04549842
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.10003103
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.06704207
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.06704207
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.06704207
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.06704207
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.07505097
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.09544102
