SMILES,AKT1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.5447366
Oc1nc(c2ccccc2C2CC2)no1,0.033195376
Clc1cc(c2ccccc2C2CC2)no1,0.24467638
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.13758367
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.13758367
OCc1cc(c2ccccc2C2CC2)no1,0.07061952
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.23859286
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.15658674
O[C@H](c1ccccc1C1CC1)C1CNC1,0.15658674
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.06175019
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.06175019
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.123831
NC1CN(Cc2ccccc2C2CC2)C1,0.09466572
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.081156604
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.20621242
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.23058133
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.23058133
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.09792158
N[C@H](c1ccccc1C1CCC1)C1CC1,0.09792158
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.105491504
O[C@H](c1ccccc1C1CCC1)C1CC1,0.105491504
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.1168938
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.037309416
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.21622734
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.21622734
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.15794094
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.18794963
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.3543574
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.5812606
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.09427519
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.09427519
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.09427519
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.21513799
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.09427519
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.106587484
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.106587484
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.106587484
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.106587484
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.1426596
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.10975678
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.10975678
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.10975678
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.10975678
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.18651812
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.18651812
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.18651812
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.18651812
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.25606927
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.25606927
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.049292892
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.049292892
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.049292892
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.049292892
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.11427558
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.12628067
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.12628067
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.25485015
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.25485015
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.05214617
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.07234912
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.07234912
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.07234912
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.07234912
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.16409373
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.16409373
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.20123073
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.20123073
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.15543938
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.15543938
