SMILES,CASP6
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.115308754
Oc1nc(c2ccccc2C2CC2)no1,0.29298145
Clc1cc(c2ccccc2C2CC2)no1,0.2682222
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.39304575
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.39304575
OCc1cc(c2ccccc2C2CC2)no1,0.28692755
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.33265755
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.16375369
O[C@H](c1ccccc1C1CC1)C1CNC1,0.16375369
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.20430586
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.20430586
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.2993917
NC1CN(Cc2ccccc2C2CC2)C1,0.2547071
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.22495277
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.21783544
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.27362362
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.27362362
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.24825096
N[C@H](c1ccccc1C1CCC1)C1CC1,0.24825096
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.27686363
O[C@H](c1ccccc1C1CCC1)C1CC1,0.27686363
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.20150572
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.13037856
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.31017584
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.31017584
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.29506272
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.16908893
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.2899875
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.17824645
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.2135912
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.2135912
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.2135912
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.15462615
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.2135912
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.18383612
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.18383612
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.18383612
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.18383612
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.1802504
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.22452562
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22452562
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.22452562
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.22452562
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.18273579
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.18273579
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.18273579
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.18273579
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.3006855
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.3006855
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.25332645
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.25332645
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.25332645
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.25332645
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.37768722
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.16894317
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.16894317
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.19369285
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.19369285
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.11794838
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.33623224
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.33623224
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.33623224
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.33623224
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.19352698
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.19352698
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.28428575
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.28428575
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.16976847
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.16976847
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.15212847
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.15212847
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.18768065
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.18768065
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.18768065
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.15212847
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.15212847
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.18768065
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.2017826
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.20722832
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.22036022
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.22036022
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.18617706
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.18617706
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.17666112
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.17666112
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.17666112
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.17666112
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.19908424
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.19908424
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.18618134
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.18618134
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.18618134
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.18618134
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.22646311
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.17304744
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.19435486
