SMILES,NAMPT
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.04913453
Oc1nc(c2ccccc2C2CC2)no1,0.058771506
Clc1cc(c2ccccc2C2CC2)no1,0.029452467
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.102076165
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.102076165
OCc1cc(c2ccccc2C2CC2)no1,0.037860576
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.057476044
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.046830997
O[C@H](c1ccccc1C1CC1)C1CNC1,0.046830997
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.07855729
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.07855729
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.06271044
NC1CN(Cc2ccccc2C2CC2)C1,0.07126962
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.034168106
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.03521036
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.0136165265
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.0136165265
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.036082335
N[C@H](c1ccccc1C1CCC1)C1CC1,0.036082335
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.06150293
O[C@H](c1ccccc1C1CCC1)C1CC1,0.06150293
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.019912928
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.022533292
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.048294105
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.048294105
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.023016432
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.03547868
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.024903798
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.016394034
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.089380294
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.089380294
