SMILES,JAK2
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.21353589
Oc1nc(c2ccccc2C2CC2)no1,0.18073888
Clc1cc(c2ccccc2C2CC2)no1,0.34684354
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.29438785
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.29438785
OCc1cc(c2ccccc2C2CC2)no1,0.1723339
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.690936
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.31477135
O[C@H](c1ccccc1C1CC1)C1CNC1,0.31477135
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.5213437
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.5213437
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.62474006
NC1CN(Cc2ccccc2C2CC2)C1,0.37566593
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.13117144
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.21177837
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.22548874
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.22548874
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.4930672
N[C@H](c1ccccc1C1CCC1)C1CC1,0.4930672
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.4427096
O[C@H](c1ccccc1C1CCC1)C1CC1,0.4427096
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.20919989
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.19346558
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.29401022
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.29401022
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.6056376
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.13620153
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.6252904
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.28079945
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.25581956
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.25581956
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.25581956
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.40339825
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.25581956
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.20144689
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.20144689
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.20144689
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.20144689
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.48375565
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.45967743
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.45967743
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.45967743
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.45967743
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.22788197
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.22788197
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.22788197
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.22788197
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.21865349
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.21865349
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.46390888
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.46390888
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.46390888
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.46390888
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.59156054
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.6724903
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.6724903
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.341452
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.341452
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.43583152
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.44145754
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.44145754
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.44145754
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.44145754
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.31734288
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.31734288
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.10008659
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.10008659
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.43332773
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.43332773
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.18969518
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.18969518
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.26066256
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.26066256
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.26066256
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.18969518
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.18969518
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.26066256
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.36407214
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.11428712
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.40075117
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.40075117
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.3599927
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.3599927
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.22005329
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.22005329
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.22005329
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.22005329
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.4339109
