SMILES,PDE5A
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.04075156
Oc1nc(c2ccccc2C2CC2)no1,0.17021784
Clc1cc(c2ccccc2C2CC2)no1,0.2581563
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.18571813
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.18571813
OCc1cc(c2ccccc2C2CC2)no1,0.17075019
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.53413844
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.010715927
O[C@H](c1ccccc1C1CC1)C1CNC1,0.010715927
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.14317551
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.14317551
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.43388528
NC1CN(Cc2ccccc2C2CC2)C1,0.04905059
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.31162992
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.32232964
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.12492973
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.12492973
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.05596911
N[C@H](c1ccccc1C1CCC1)C1CC1,0.05596911
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.0559112
O[C@H](c1ccccc1C1CCC1)C1CC1,0.0559112
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.12594818
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.35281962
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.46130672
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.46130672
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.11646991
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.358104
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.08300935
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.11312121
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.1649128
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.1649128
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.1649128
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.042476885
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.1649128
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.16868958
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.16868958
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.16868958
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.16868958
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.2627156
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.09827522
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09827522
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09827522
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.09827522
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.14249046
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.14249046
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.14249046
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.14249046
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.18769297
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.18769297
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.11424471
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.11424471
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.11424471
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.11424471
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.08023563
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.07640259
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.07640259
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.039483115
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.039483115
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.08145519
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09709085
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09709085
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.09709085
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.09709085
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.059478298
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.059478298
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.032979682
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.032979682
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.10114926
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.10114926
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.028405646
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.028405646
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.0058247177
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.0058247177
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.0058247177
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.028405646
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.028405646
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.0058247177
