SMILES,PPARA
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.11987368
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.11987368
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.008776612
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.008776612
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.008776612
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.008776612
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.016532812
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.026589442
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.09870698
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.002488141
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.050172582
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.016500382
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.023233928
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.023233928
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.026994143
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.026994143
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.026994143
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.026994143
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.15765482
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.008240718
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.01699979
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.022046119
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.022046119
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.06368923
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.015852977
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.020206256
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.020206256
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.0038261137
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.0038261137
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.03553918
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.03553918
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.034349103
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.034349103
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.046392582
