SMILES,PPARD
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.1027384
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.1027384
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.018890949
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.018890949
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.018890949
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.018890949
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.04057396
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.044750348
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.054182258
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.007616938
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.16259733
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.01418251
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.018083695
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.018083695
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.03384115
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.03384115
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.03384115
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.03384115
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.45471233
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.02432362
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.02969641
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.012163524
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.012163524
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.07647843
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.027619276
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.009207238
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.009207238
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.013101959
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.013101959
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.009565695
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.009565695
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.012214874
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.012214874
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.05419581
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.022563586
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.022563586
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.022563586
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.022563586
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.030810216
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.030810216
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.030810216
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.030810216
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.009068234
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.009068234
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.009068234
