SMILES,RARA
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.48708394
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.31977066
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.31977066
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.31977066
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.31977066
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.31509498
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.15731595
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.4401907
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.27114764
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.39605007
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.18653056
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.2042076
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.2042076
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.35121682
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.35121682
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.35121682
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.35121682
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.28114483
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.23843351
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.27910233
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.35566038
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.35566038
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.17158137
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.18266197
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.34520337
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.34520337
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.22172864
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.22172864
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.4245101
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.4245101
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.54920053
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.54920053
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.1330981
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.22304083
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.22304083
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.22304083
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.22304083
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.31632698
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.31632698
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.31632698
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.31632698
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.36652416
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.36652416
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.36652416
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.36652416
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.43541712
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.43541712
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.27982187
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.35436416
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.41763073
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.5046705
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.21023832
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.21023832
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.3739625
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.3739625
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.3739625
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.3739625
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.19483723
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.2974555
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.2974555
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.1952017
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.205474
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.35279214
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.35279214
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.2764497
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.2764497
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.2764497
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.2764497
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.37348154
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.37348154
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.34175473
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.34175473
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.34175473
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.34175473
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.40778112
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.36182073
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.17701398
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.17506444
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.17506444
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.43877533
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.4571
