SMILES,ROCK1
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.10498925
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.118738115
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.118738115
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.118738115
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.118738115
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.08718995
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.06390665
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.08962274
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.1025298
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.091182336
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.12525271
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.09171661
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.09171661
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.10254711
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.10254711
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.10254711
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.10254711
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.06507837
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.06634995
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.10375307
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.09993512
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.09993512
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.048829623
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.06928503
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.10286071
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.10286071
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.08201219
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.08201219
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.12246596
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.12246596
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.16231482
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.16231482
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.08749502
