SMILES,GRM2
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.101199344
Oc1nc(c2ccccc2C2CC2)no1,0.3720396
Clc1cc(c2ccccc2C2CC2)no1,0.45941234
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.5199848
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.5199848
OCc1cc(c2ccccc2C2CC2)no1,0.26527694
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.19594799
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.37362477
O[C@H](c1ccccc1C1CC1)C1CNC1,0.37362477
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.4248616
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.4248616
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.21464178
NC1CN(Cc2ccccc2C2CC2)C1,0.66197175
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.7777978
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.6978971
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.36383855
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.36383855
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.633943
N[C@H](c1ccccc1C1CCC1)C1CC1,0.633943
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.4860776
O[C@H](c1ccccc1C1CCC1)C1CC1,0.4860776
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.1930043
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.7473362
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.39537457
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.39537457
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.49611008
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.57980996
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.39493695
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.3831546
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.54051286
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.54051286
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.54051286
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.28240287
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.54051286
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.38463476
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.38463476
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.38463476
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.38463476
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.59371
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.6604762
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.6604762
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.6604762
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.6604762
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.70839167
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.70839167
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.70839167
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.70839167
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.5618254
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.5618254
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.37657824
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.37657824
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.37657824
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.37657824
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.7371157
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.527552
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.527552
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.6548607
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.6548607
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.48701376
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5972765
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5972765
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.5972765
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.5972765
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.4661467
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.4661467
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.61597115
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.61597115
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.3377719
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.3377719
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.5818554
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.5818554
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.42275274
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.42275274
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.42275274
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.5818554
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.5818554
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.42275274
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.43142638
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.46868077
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.34166443
