SMILES,SMO
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.36056802
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.30906317
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.30906317
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.30906317
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.30906317
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.26020905
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1946316
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.51695377
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.20976613
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.4569609
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.313717
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.30618095
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.30618095
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.36000177
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.36000177
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.36000177
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.36000177
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.25232512
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.22344503
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.25620335
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.44439125
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.44439125
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.25639984
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.16178343
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.331168
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.331168
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.14460811
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.14460811
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.3869642
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.3869642
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.249895
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.249895
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.1141282
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.21348481
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.21348481
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.21348481
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.21348481
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.23868854
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.23868854
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.23868854
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.23868854
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.5361738
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.5361738
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.5361738
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.5361738
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.20069835
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.20069835
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.21229582
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.38344806
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.1264728
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.26340926
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.2334696
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.2334696
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.3075718
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.3075718
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.3075718
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.3075718
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.1980239
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.32637683
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.32637683
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.18079156
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.11896217
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.24987678
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.24987678
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.20130254
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.20130254
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.20130254
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.20130254
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.3673867
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.3673867
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.43664074
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.43664074
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.43664074
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.43664074
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.2755812
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.18858099
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.16111778
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.15213934
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.15213934
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.12966454
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.19271311
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.20261092
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.14730184
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.14730184
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.14730184
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.14730184
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.2069973
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.20530064
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.19803205
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.28446335
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.28446335
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.28446335
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.28446335
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.26477847
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.26477847
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.26477847
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.26477847
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.24929664
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.24929664
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.24929664
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.24929664
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.25187045
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.25187045
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.21332736
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.27316728
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.27316728
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.27316728
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.27316728
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.23339401
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.23339401
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.23339401
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.23339401
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2880798
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2880798
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2880798
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2880798
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.38716343
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.38716343
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.38716343
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.38716343
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.24364261
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.24364261
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.24364261
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.24364261
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.23365402
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.23365402
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.23365402
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.23365402
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.4047449
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.4047449
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.4047449
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.4047449
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.22068563
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.22068563
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.22068563
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.22068563
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.18778045
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.18778045
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.2559981
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.25102976
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.25102976
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.25102976
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.25102964
