SMILES,HDAC8
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.10442259
Oc1nc(c2ccccc2C2CC2)no1,0.35753018
Clc1cc(c2ccccc2C2CC2)no1,0.1995104
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.3910447
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.3910447
OCc1cc(c2ccccc2C2CC2)no1,0.4298019
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.25648385
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.21498004
O[C@H](c1ccccc1C1CC1)C1CNC1,0.21498004
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.36958775
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.36958775
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.24614929
NC1CN(Cc2ccccc2C2CC2)C1,0.45126137
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.12518142
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.15790358
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.16491298
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.16491298
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.1616004
N[C@H](c1ccccc1C1CCC1)C1CC1,0.1616004
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.19158962
O[C@H](c1ccccc1C1CCC1)C1CC1,0.19158962
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.17447823
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.077148266
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.18366173
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.18366173
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.14308415
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.08626262
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.14027563
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.23473424
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.32912302
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.32912302
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.32912302
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.07566224
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.32912302
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.3912522
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.3912522
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.3912522
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.3912522
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.13045764
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.20149425
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20149425
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20149425
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.20149425
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.29686677
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.29686677
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.29686677
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.29686677
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.08585175
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.08585175
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.601968
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.601968
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.601968
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.601968
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.2689965
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.37692353
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.37692353
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.13240023
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.13240023
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.06789874
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14224702
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14224702
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.14224702
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.14224702
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.1916141
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.1916141
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.24449384
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.24449384
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.30241048
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.30241048
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.30328512
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.30328512
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.12067626
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.12067626
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.12067626
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.30328512
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.30328512
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.12067626
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.08909382
