SMILES,DRD4
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.23207733
Oc1nc(c2ccccc2C2CC2)no1,0.48493463
Clc1cc(c2ccccc2C2CC2)no1,0.6932541
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.87241757
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.87241757
OCc1cc(c2ccccc2C2CC2)no1,0.3353128
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.25978526
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.5721113
O[C@H](c1ccccc1C1CC1)C1CNC1,0.5721113
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.9321358
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.9321358
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.16725129
NC1CN(Cc2ccccc2C2CC2)C1,0.9338289
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.5495756
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.66158247
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.050986763
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.050986763
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.56645966
N[C@H](c1ccccc1C1CCC1)C1CC1,0.56645966
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.8264177
O[C@H](c1ccccc1C1CCC1)C1CC1,0.8264177
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.24079749
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.29194596
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.68698037
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.68698037
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.32172948
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.5895364
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.22299796
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.1690377
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.8743472
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.8743472
