SMILES,PPARG
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.12380631
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.12380631
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.0063934983
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.0063934983
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.0063934983
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.0063934983
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.04886567
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.05726511
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.10936542
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.0020442042
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.0804962
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.028198294
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.01358976
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.01358976
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.011939513
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.011939513
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.011939513
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.011939513
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.21793695
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.013854864
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.010108512
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.0045542177
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.0045542177
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.083659045
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.0351285
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.021474894
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.021474894
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.01882522
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.01882522
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.011138792
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.011138792
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.0068795024
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.0068795024
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.09041149
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.007900456
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.007900456
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.007900456
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.007900456
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.02545685
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.02545685
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.02545685
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.02545685
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.0056415773
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.0056415773
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.0056415773
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.0056415773
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.041261673
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.041261673
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.0063510886
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.051539026
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.52375925
