SMILES,AKT2
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.33604237
Oc1nc(c2ccccc2C2CC2)no1,0.0867754
Clc1cc(c2ccccc2C2CC2)no1,0.17898992
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.12691829
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.12691829
OCc1cc(c2ccccc2C2CC2)no1,0.117250904
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.34588262
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.104146756
O[C@H](c1ccccc1C1CC1)C1CNC1,0.104146756
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.09633602
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.09633602
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.17318796
NC1CN(Cc2ccccc2C2CC2)C1,0.10458402
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.09297802
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.1074396
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.08302849
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.08302849
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.15118964
N[C@H](c1ccccc1C1CCC1)C1CC1,0.15118964
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.061316453
O[C@H](c1ccccc1C1CCC1)C1CC1,0.061316453
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.09956769
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.06483358
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.15546235
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.15546235
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.14468123
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.114934295
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.1825479
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.18169864
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.074914314
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.074914314
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.074914314
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.09554036
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.074914314
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.061061025
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.061061025
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.061061025
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.061061025
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.060351662
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.11355667
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.11355667
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.11355667
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.11355667
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.12219101
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.12219101
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.12219101
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.12219101
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.06236995
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.06236995
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.065797344
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.065797344
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.065797344
