SMILES,CASP8
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.028265443
Oc1nc(c2ccccc2C2CC2)no1,0.27328208
Clc1cc(c2ccccc2C2CC2)no1,0.13635749
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.24014351
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.24014351
OCc1cc(c2ccccc2C2CC2)no1,0.13892649
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.20280631
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.13790548
O[C@H](c1ccccc1C1CC1)C1CNC1,0.13790548
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.1997891
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.1997891
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.30309564
NC1CN(Cc2ccccc2C2CC2)C1,0.12563732
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.06481377
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.060491018
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.14923121
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.14923121
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.20205624
N[C@H](c1ccccc1C1CCC1)C1CC1,0.20205624
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.23586623
O[C@H](c1ccccc1C1CCC1)C1CC1,0.23586623
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.14204225
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.08433583
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.11876757
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.11876757
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.1273309
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.053683467
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.10705555
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.07945035
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.16427214
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.16427214
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.16427214
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.06113203
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.16427214
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.15894218
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.15894218
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.15894218
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.15894218
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.08905599
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.12598206
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.12598206
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.12598206
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.12598206
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.14259826
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.14259826
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.14259826
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.14259826
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.11695347
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.11695347
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.22500226
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.22500226
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.22500226
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.22500226
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.17191651
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.12837404
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.12837404
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.13853107
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.13853107
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.08101266
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.12313001
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.12313001
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.12313001
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.12313001
