SMILES,CASP3
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.0128935855
Oc1nc(c2ccccc2C2CC2)no1,0.27217215
Clc1cc(c2ccccc2C2CC2)no1,0.14303806
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.08212332
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.08212332
OCc1cc(c2ccccc2C2CC2)no1,0.07658637
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.07587335
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.03012657
O[C@H](c1ccccc1C1CC1)C1CNC1,0.03012657
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.055425834
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.055425834
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.15183511
NC1CN(Cc2ccccc2C2CC2)C1,0.07733354
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.10820516
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.10214725
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.096363865
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.096363865
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.044439267
N[C@H](c1ccccc1C1CCC1)C1CC1,0.044439267
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.04828556
O[C@H](c1ccccc1C1CCC1)C1CC1,0.04828556
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.08770412
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.0564529
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.09688879
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.09688879
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.08695433
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.024580477
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.06935992
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.034330163
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.06412832
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.06412832
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.06412832
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.027743977
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.06412832
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.10419352
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.10419352
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.10419352
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.10419352
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.08411696
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.06980358
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06980358
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.06980358
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.06980358
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.06393486
