SMILES,RARB
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.23374258
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.09925368
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.09925368
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.09925368
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.09925368
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.16369878
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.14766976
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.19625372
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.08563125
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.24131499
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.072565265
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.19607288
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.19607288
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13517942
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.13517942
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.13517942
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.13517942
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.24196817
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.13386273
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.1431933
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.16588905
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.16588905
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.099299006
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.10732038
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.1648843
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.1648843
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.18538812
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.18538812
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.15193895
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.15193895
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.23497683
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.23497683
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.13151957
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.16396666
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.16396666
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.16396666
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.16396666
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.2066733
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.2066733
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.2066733
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.2066733
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.14122842
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.14122842
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.14122842
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.14122842
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.24121618
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.24121618
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.13487084
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.20279486
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.25211033
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.1960733
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.07159093
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.07159093
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.15141556
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.15141556
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.15141556
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.15141556
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.061228517
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.17653872
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.17653872
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.17118946
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.067529425
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.19698088
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.19698088
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.18177551
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.18177551
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.18177551
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.18177551
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.08579256
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.08579256
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.089230746
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.089230746
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.089230746
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.089230746
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.30962908
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.21884224
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.16295421
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.07467362
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.07467362
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.2925701
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.22447008
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.19754858
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.12663645
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.12663645
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.12663645
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.12663645
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.12022365
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.25192076
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.16712497
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.08544681
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.08544681
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.08544681
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.08544681
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.15158734
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.15158734
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.15158734
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.15158734
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.122749895
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.122749895
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.122749895
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.122749895
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.15253197
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.15253197
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.08978517
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.14432377
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.14432377
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.14432377
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.14432377
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.10431175
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.10431175
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.10431175
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.10431175
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.14175348
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.14175348
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14175348
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14175348
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09514169
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.09514169
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.09514169
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.09514169
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.20323747
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.20323747
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.20323747
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.20323747
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.101199776
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.101199776
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.101199776
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.101199776
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.11390808
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.11390808
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.11390808
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.11390808
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.10312317
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.10312317
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.10312317
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.10312317
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.20328793
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.20328793
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.45851624
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.11667769
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.11667769
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.11667769
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.116677664
