SMILES,EDNRB
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.016378492
Oc1nc(c2ccccc2C2CC2)no1,0.2294249
Clc1cc(c2ccccc2C2CC2)no1,0.1010539
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.32004532
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.32004532
OCc1cc(c2ccccc2C2CC2)no1,0.22411963
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.1708178
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.11649494
O[C@H](c1ccccc1C1CC1)C1CNC1,0.11649494
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.15195556
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.15195556
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.13466723
NC1CN(Cc2ccccc2C2CC2)C1,0.1793265
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.08333063
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.21335244
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.15233478
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.15233478
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.09647572
N[C@H](c1ccccc1C1CCC1)C1CC1,0.09647572
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.25167125
O[C@H](c1ccccc1C1CCC1)C1CC1,0.25167125
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.07369294
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.0664692
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.36704352
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.36704352
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.2719909
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.20711637
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.19786425
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.0338071
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.20987071
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.20987071
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.20987071
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.045437057
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.20987071
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.18394141
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.18394141
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.18394141
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.18394141
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.105140306
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.1501564
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1501564
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1501564
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.1501564
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.11350976
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.11350976
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.11350976
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.11350976
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.28427538
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.28427538
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.18465634
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.18465634
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.18465634
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.18465634
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.16825809
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.12473487
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.12473487
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.27783227
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.27783227
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.098579496
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.17154138
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.17154138
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.17154138
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.17154138
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.26593912
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.26593912
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.041621916
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.041621916
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.13804077
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.13804077
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.0750916
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.0750916
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.036045775
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.036045775
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.036045775
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.0750916
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.0750916
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.036045775
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.08065848
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.37579083
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.04942568
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.04942568
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.12756307
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.12756307
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.21702865
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.21702865
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.21702865
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.21702865
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.48642093
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.48642093
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.1387709
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.1387709
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.1387709
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.1387709
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.13064478
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.11236944
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.24253732
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.13342471
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.7530516
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.2524147
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.09423395
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.09423395
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.17502858
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.17502858
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.17502858
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.17502858
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.6192706
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.12753126
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.07913057
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.08588479
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.08588479
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.41905388
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.09377363
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.2568446
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.2568446
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.2538666
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.2538666
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.052531492
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.052531492
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.06317101
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.06317101
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.09281865
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.32304487
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.32304487
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.32304487
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.32304487
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.14959328
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.14959328
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.14959328
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.14959328
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.18326165
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.18326165
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.18326165
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.18326165
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.06215977
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.06215977
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.033362027
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.8009389
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.21605636
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.17555827
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.36429566
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.36429566
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.0692031
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.0692031
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.0692031
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.0692031
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.41116777
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.26810387
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.26810387
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.25902802
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.14360228
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.26322702
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.26322702
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.42196128
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.42196128
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.42196128
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.42196128
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.15805094
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.15805094
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.48461625
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.48461625
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.48461625
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.48461625
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.22888425
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.35832
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.12628037
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.12558895
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.12558895
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.20851937
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.15901773
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.33014095
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.57258385
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.57258385
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.57258385
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.57258385
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.3731463
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.11486465
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.3401846
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.194443
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.194443
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.194443
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.194443
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.080535226
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.080535226
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.080535226
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.080535226
