SMILES,PIM2
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.080968454
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.13983674
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.13983674
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.13983674
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.13983674
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.11326209
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.21590924
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.11788694
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.16018677
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.14356393
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.23739031
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.23493247
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.23493247
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2340531
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.2340531
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.2340531
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.2340531
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.12002054
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.14567566
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.3593852
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.24276225
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.24276225
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.09054809
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.1333129
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.15234661
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.15234661
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.107817024
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.107817024
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.15192772
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.15192772
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.2240546
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.2240546
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.139582
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.081658825
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.081658825
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.081658825
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.081658825
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.071583234
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.071583234
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.071583234
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.071583234
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.19363897
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.19363897
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.19363897
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.19363897
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.08018995
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.08018995
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.25130594
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.13761202
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.10283749
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.24310248
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.09461441
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.09461441
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.14854139
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.14854139
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.14854139
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.14854139
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.12954204
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.16129099
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.16129099
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.11147439
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.19588174
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.101737686
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.101737686
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.100882344
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.100882344
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.100882344
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.100882344
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.15488999
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.15488999
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.11011839
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.11011839
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.11011839
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.11011839
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.13563249
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.08784857
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.15242371
