SMILES,PIM1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.14424947
Oc1nc(c2ccccc2C2CC2)no1,0.19615437
Clc1cc(c2ccccc2C2CC2)no1,0.35255235
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.19197649
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.19197649
OCc1cc(c2ccccc2C2CC2)no1,0.22332719
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.19828793
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.23179413
O[C@H](c1ccccc1C1CC1)C1CNC1,0.23179413
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.28412372
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.28412372
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.22499792
NC1CN(Cc2ccccc2C2CC2)C1,0.13418207
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.10018301
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.13698442
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.11185901
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.11185901
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.3369135
N[C@H](c1ccccc1C1CCC1)C1CC1,0.3369135
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.16844578
O[C@H](c1ccccc1C1CCC1)C1CC1,0.16844578
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.1068835
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.025740523
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.19136088
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.19136088
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.11652553
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.0622194
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.12374342
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.14295901
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.21156037
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.21156037
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.21156037
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.16170903
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.21156037
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.19469447
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.19469447
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.19469447
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.19469447
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.036174294
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.25301293
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.25301293
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.25301293
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.25301293
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.19664986
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.19664986
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.19664986
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.19664986
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.10122463
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.10122463
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.23555692
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.23555692
