SMILES,AURKB
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.03944427
Oc1nc(c2ccccc2C2CC2)no1,0.10462623
Clc1cc(c2ccccc2C2CC2)no1,0.18206696
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.050434437
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.050434437
OCc1cc(c2ccccc2C2CC2)no1,0.2338466
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.24381413
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.1257896
O[C@H](c1ccccc1C1CC1)C1CNC1,0.1257896
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.09536752
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.09536752
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.3750542
NC1CN(Cc2ccccc2C2CC2)C1,0.10805124
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.100244366
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.032489806
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.044471797
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.044471797
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.09153449
N[C@H](c1ccccc1C1CCC1)C1CC1,0.09153449
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.2613359
O[C@H](c1ccccc1C1CCC1)C1CC1,0.2613359
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.060300007
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.072552115
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.11915251
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.11915251
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.105930805
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.0790958
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.06352139
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.09963653
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.032477304
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.032477304
