SMILES,JAK1
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.1467253
Oc1nc(c2ccccc2C2CC2)no1,0.4313517
Clc1cc(c2ccccc2C2CC2)no1,0.37487733
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.3275464
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.3275464
OCc1cc(c2ccccc2C2CC2)no1,0.36967722
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.72509235
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.60968983
O[C@H](c1ccccc1C1CC1)C1CNC1,0.60968983
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.48435113
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.48435113
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.72457576
NC1CN(Cc2ccccc2C2CC2)C1,0.5049738
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.29940304
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.43323264
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.24684604
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.24684604
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.4962032
N[C@H](c1ccccc1C1CCC1)C1CC1,0.4962032
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.6080582
O[C@H](c1ccccc1C1CCC1)C1CC1,0.6080582
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.34142482
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.24813461
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.3748784
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.3748784
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.51943135
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.35066298
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.6831863
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.4555293
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.4267682
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.4267682
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.4267682
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.41333714
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.4267682
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.38394383
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.38394383
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.38394383
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.38394383
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.5334004
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.5138519
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5138519
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.5138519
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.5138519
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.35269293
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.35269293
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.35269293
