SMILES,S1PR1
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.3126411
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.12982062
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.12982062
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.12982062
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.12982062
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.06745877
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.39971694
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.15829216
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.018948885
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.26043206
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.06225071
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.21691453
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.21691453
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16618247
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.16618247
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.16618247
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.16618247
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.39306915
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.13029096
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.12512073
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.19000065
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.19000065
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.18046792
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.055841256
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.27629483
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.27629483
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.038091846
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.038091846
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.13607804
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.13607804
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.15827723
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.15827723
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.084612116
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.076571986
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.076571986
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.076571986
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.076571986
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.4043515
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.4043515
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.4043515
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.4043515
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.082212344
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.082212344
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.082212344
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.082212344
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.12873797
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.12873797
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.06158814
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.37301174
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.34531417
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.16468938
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.009108734
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.009108734
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.14995772
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.14995772
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.14995772
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.14995772
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.14278747
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.15898594
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.15898594
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.4548679
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.028096577
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.23759112
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.23759112
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.19979498
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.19979498
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.19979498
CCCN1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.19979498
NN[C@@H](c1ccccc1C1CCC1)C1CC1,0.104095474
NN[C@H](c1ccccc1C1CCC1)C1CC1,0.104095474
CC(C)CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.15372476
CC(C)CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.15372476
CC(C)CN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.15372476
CC(C)CN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.15372476
CCOc1cc(C2CCC2)c(C2CC2)cc1CO,0.41693017
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1CO,0.7404422
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.18971291
CN(C)CCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.022055477
CN(C)CCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.022055477
CCOc1cc(C=O)cc(C2CC2)c1C1CCC1,0.28422073
CC1(OCC(=O)O)CN(Cc2ccccc2C2CC2)C1,0.28214592
CC(C)Oc1cc(C2CCC2)c(C2CC2)cc1C=O,0.7386504
CCCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.375185
CCCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.375185
CCCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.375185
CCCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.375185
CCCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.20458788
CCOc1cc(C2CCC2)c(C2CC2)cc1C=O,0.3457676
CC(C)Oc1cc(C2CCCC2)c(C2CC2)cc1C=O,0.78966135
CCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.2766979
CCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.2766979
CCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.2766979
CCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.2766979
CC(C)(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.030847149
CC(C)(C)N1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.030847149
CC(C)(C)N1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.030847149
CC(C)(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.030847149
CCN1CC[C@@H](CNC)[C@H]1c1ccccc1C1CC1,0.3125438
CCN1CC[C@H](CNC)[C@@H]1c1ccccc1C1CC1,0.3125438
CCN1CC[C@H](CNC)[C@H]1c1ccccc1C1CC1,0.3125438
CCN1CC[C@@H](CNC)[C@@H]1c1ccccc1C1CC1,0.3125438
CN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.1965743
CN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.1965743
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.029216342
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.13564853
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.13564853
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.13564853
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.13564853
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.29788417
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.29788417
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.29788417
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.29788417
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.22241469
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.22241469
