SMILES,TNKS2
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.32653913
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.2310264
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.2310264
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.2310264
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.2310264
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.37164864
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.19572836
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.27466708
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.2001206
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.21746315
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.23082526
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.21932644
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.21932644
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.34252205
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.34252205
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.34252205
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.34252205
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.23797435
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.19887552
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.29955342
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.17075495
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.17075495
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.20977013
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.1361007
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.26440802
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.26440802
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.27315938
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.27315938
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.2835046
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.2835046
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.2928475
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.2928475
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.13566288
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.26593703
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.26593703
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.26593703
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.26593703
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.2190995
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.2190995
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.2190995
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.2190995
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.23872249
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.23872249
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.23872249
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.23872249
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.28735813
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.28735813
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.24808465
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.23639835
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.37676504
