SMILES,ROCK2
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.510979
Oc1nc(c2ccccc2C2CC2)no1,0.091253385
Clc1cc(c2ccccc2C2CC2)no1,0.112402946
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.33781588
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.33781588
OCc1cc(c2ccccc2C2CC2)no1,0.08581475
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.34698123
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.28915662
O[C@H](c1ccccc1C1CC1)C1CNC1,0.28915662
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.23448534
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.23448534
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.08811004
NC1CN(Cc2ccccc2C2CC2)C1,0.4445664
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.07783319
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.048489053
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.11937807
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.11937807
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.16105641
N[C@H](c1ccccc1C1CCC1)C1CC1,0.16105641
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.14509237
O[C@H](c1ccccc1C1CCC1)C1CC1,0.14509237
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.047790967
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.03261968
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.27403367
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.27403367
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.14520758
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.03296413
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.13404298
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.0757131
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.28689224
