SMILES,TYK2
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.12918328
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.10050373
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.10050373
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.10050373
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.10050373
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.059309244
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.07314422
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.08718756
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.21326993
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.12331721
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.09322213
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.19559643
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.19559643
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1207691
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.1207691
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.1207691
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.1207691
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.11579559
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.14843881
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.13989766
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.11301452
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.11301452
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.07683171
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.10741951
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.14708212
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.14708212
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.18927638
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.18927638
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.059478886
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.059478886
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.12550499
