SMILES,MERTK
CC(C)NC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.19490165
CC(C)NC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.19490165
CC(C)NC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.19490165
CC(C)NC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.19490165
CNC[C@@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.14241976
CNC[C@H]1CCN(C(C)C)[C@@H]1c1ccccc1C1CC1,0.14241976
CNC[C@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.14241976
CNC[C@@H]1CCN(C(C)C)[C@H]1c1ccccc1C1CC1,0.14241976
CC(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.18030314
CC(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.18030314
CC(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.18030314
CC(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.18030314
CC(C)CNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20215711
CC(C)CNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.20215711
CC(C)CNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.20215711
CC(C)CNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20215711
COCCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.15877938
COCCN1CC[C@H](N)[C@@H]1c1ccccc1C1CC1,0.15877938
COCCN1CC[C@@H](N)[C@@H]1c1ccccc1C1CC1,0.15877938
COCCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.15877938
CCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14930633
CCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.14930633
CCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.14930633
CCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.14930633
CC(C)(C)NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.20734155
CC(C)(C)NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20734155
CC(C)(C)NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.20734155
CC(C)(C)NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.20734155
CCCNC[C@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.1618905
CCCNC[C@@H]1CCN(C)[C@H]1c1ccccc1C1CC1,0.1618905
CCCNC[C@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.1618905
CCCNC[C@@H]1CCN(C)[C@@H]1c1ccccc1C1CC1,0.1618905
CCN[C@@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.114947066
CCN[C@H](c1ccccc1C1CCC1)C1C(C)(C)C1(C)C,0.114947066
CCOC(=O)c1cc(OCC)c(C2CCC2)c(C2CC2)c1,0.2017125
COCCNC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15319219
COCCNC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.15319219
COCCNC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.15319219
COCCNC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.15319216
