SMILES,PDE2A
[C@H](c1ncc[nH]1)c1ccc(F)cc1Cc1cncnc1,0.50697744
Oc1nc(c2ccccc2C2CC2)no1,0.31378955
Clc1cc(c2ccccc2C2CC2)no1,0.36067513
c1ccc(C2CCC2)c(C[C@@H]2CO2)c1,0.3431208
c1ccc(C2CCC2)c(C[C@H]2CO2)c1,0.3431208
OCc1cc(c2ccccc2C2CC2)no1,0.35337365
OCc1c[nH]c(c2ccccc2C2CC2)n1,0.42912227
O[C@@H](c1ccccc1C1CC1)C1CNC1,0.4098357
O[C@H](c1ccccc1C1CC1)C1CNC1,0.4098357
c1ccc([C@@H]2CCN2)c(C2CC2)c1,0.38778207
c1ccc([C@H]2CCN2)c(C2CC2)c1,0.38778207
CC(=O)c1c[nH]c(c2ccccc2C2CC2)n1,0.2543511
NC1CN(Cc2ccccc2C2CC2)C1,0.3684925
CCCc1nc(c2ccccc2C2CC2)c(N)n1C,0.4742134
CCCc1nc(c2ccccc2C2CC2)c(N)n1N,0.5079032
CC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.37424004
CC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.37424004
N[C@@H](c1ccccc1C1CCC1)C1CC1,0.5108892
N[C@H](c1ccccc1C1CCC1)C1CC1,0.5108892
O[C@@H](c1ccccc1C1CCC1)C1CC1,0.43127334
O[C@H](c1ccccc1C1CCC1)C1CC1,0.43127334
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.4175455
CCCCn1cnc(c2ccccc2C2CC2)c1N,0.43624172
NC1=N[C@@H](c2ccccc2C2CC2)CO1,0.44807348
NC1=N[C@H](c2ccccc2C2CC2)CO1,0.44807348
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1C,0.41719204
CCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.3729303
CC(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.40462255
C=CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.3915425
C[C@@H]1NCC[C@@H]1c1ccccc1C1CC1,0.4205631
C[C@H]1NCC[C@@H]1c1ccccc1C1CC1,0.4205631
C[C@H]1NCC[C@H]1c1ccccc1C1CC1,0.4205631
C#CCn1c(C)nc(c2ccccc2C2CC2)c1N,0.40505636
C[C@@H]1NCC[C@H]1c1ccccc1C1CC1,0.4205631
C[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.4233748
C[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.4233748
C[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.4233748
C[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.4233748
CC(C)Cn1cnc(c2ccccc2C2CC2)c1N,0.4674431
N[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.36600965
N[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.36600965
N[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.36600965
N[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.36600965
C[C@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.4217158
C[C@@H]1C[C@H](c2ccccc2C2CC2)CN1,0.4217158
C[C@H]1C[C@H](c2ccccc2C2CC2)CN1,0.4217158
C[C@@H]1C[C@@H](c2ccccc2C2CC2)CN1,0.4217158
CCC[C@H](N)c1cc(c2ccccc2C2CC2)no1,0.3566046
CCC[C@@H](N)c1cc(c2ccccc2C2CC2)no1,0.3566046
O[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.3616243
O[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.3616243
O[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.3616243
O[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.3616243
CC1(C#N)CN(Cc2ccccc2C2CC2)C1,0.37413695
NC1=NC[C@@H](c2ccccc2C2CC2)N1,0.3937995
NC1=NC[C@H](c2ccccc2C2CC2)N1,0.3937995
NC1=NC[C@@H](c2ccccc2C2CC2)O1,0.3237926
NC1=NC[C@H](c2ccccc2C2CC2)O1,0.3237926
CC(C)(C)n1cnc(c2ccccc2C2CC2)c1N,0.4614317
N#C[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.31870255
N#C[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.31870255
N#C[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.31870255
N#C[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.31870255
CN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.40356934
CN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.40356934
CC1([C@@H](NN)c2ccccc2C2CCC2)CC1,0.42675662
CC1([C@H](NN)c2ccccc2C2CCC2)CC1,0.42675662
CC1(C)NCC[C@H]1c1ccccc1C1CC1,0.37420684
CC1(C)NCC[C@@H]1c1ccccc1C1CC1,0.37420684
C[C@@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.36396325
C[C@@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.36396325
CC1(C)C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.4304406
CC1(C)C[C@@H]1[C@@H](N)c1ccccc1C1CCC1,0.4304406
CC1(C)C[C@H]1[C@@H](N)c1ccccc1C1CCC1,0.4304406
C[C@]1(N)CNC[C@H]1c1ccccc1C1CC1,0.36396325
C[C@]1(N)CNC[C@@H]1c1ccccc1C1CC1,0.36396325
CC1(C)C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.4304406
Cn1c(N)c(c2ccccc2C2CC2)nc1C(C)(C)C,0.48362088
CCc1nc(c2ccccc2C2CC2)c(N)n1CC,0.40163472
CN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.3397457
CN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.3397457
C[C@@H]1C[C@@H]1[C@H](N)c1ccccc1C1CCC1,0.5223024
C[C@@H]1C[C@H]1[C@H](N)c1ccccc1C1CCC1,0.5223024
CC[C@@H]1CCN[C@H]1c1ccccc1C1CC1,0.34667352
CC[C@@H]1CCN[C@@H]1c1ccccc1C1CC1,0.34667352
CC[C@H]1CCN[C@@H]1c1ccccc1C1CC1,0.34667352
CC[C@H]1CCN[C@H]1c1ccccc1C1CC1,0.34667352
C[C@@H]1C[C@H]1[C@H](O)c1ccccc1C1CCC1,0.4212149
C[C@@H]1C[C@@H]1[C@H](O)c1ccccc1C1CCC1,0.4212149
C[C@@H]1C[C@H]1[C@H](NN)c1ccccc1C1CCC1,0.44191414
C[C@@H]1C[C@H]1[C@@H](NN)c1ccccc1C1CCC1,0.44191414
C[C@@H]1C[C@@H]1[C@@H](NN)c1ccccc1C1CCC1,0.44191414
C[C@@H]1C[C@@H]1[C@H](NN)c1ccccc1C1CCC1,0.44191414
CCc1nc(c2ccccc2C2CC2)c(N)n1C(C)C,0.40495256
CCCCn1c(C)nc(c2ccccc2C2CC2)c1N,0.37394735
CC[C@@H]1N[C@H](C)C[C@H]1c1ccccc1C1CC1,0.286822
CC(C)(C)c1nc(c2ccccc2C2CC2)c(N)n1N,0.5217111
CC(C)c1onc(c2ccccc2C2CC2)c1C(=O)O,0.2979716
Cc1nc(c2ccccc2C2CC2)c(N)n1CC(C)C,0.34659553
OC[C@@H]1CC(=NO1)c1ccccc1C1CC1,0.3673792
OC[C@H]1CC(=NO1)c1ccccc1C1CC1,0.3673792
NC[C@H]1CCO[C@@H]1c1ccccc1C1CC1,0.28549415
NC[C@@H]1CCO[C@@H]1c1ccccc1C1CC1,0.28549415
NC[C@H]1CCO[C@H]1c1ccccc1C1CC1,0.28549415
NC[C@@H]1CCO[C@H]1c1ccccc1C1CC1,0.28549415
CCCc1onc(c2ccccc2C2CC2)c1C(=O)O,0.27084017
C#CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.40338457
Cc1nc(c2ccccc2C2CC2)c(N)n1C(C)(C)C,0.43658233
CN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.31058154
CN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.31058154
CCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.40937227
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.37335214
CCN1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.29833883
CCN1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.29833883
COCCN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.3960985
COCCN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.3960985
CC(C)N1CC[C@H](N)[C@H]1c1ccccc1C1CC1,0.26285863
CC(C)N1CC[C@@H](N)[C@H]1c1ccccc1C1CC1,0.26285863
CC1(C)C([C@@H](N)c2ccccc2C2CCC2)C1(C)C,0.4783157
CC1(C)C([C@H](N)c2ccccc2C2CCC2)C1(C)C,0.4783157
C=CCn1c(N)c(c2ccccc2C2CC2)nc1CCC,0.39607623
CC[C@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.41284573
CC[C@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.41284573
CC[C@@H](C)N1C(=NC[C@H]1c1ccccc1C1CC1)N,0.41284573
CC[C@@H](C)N1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.41284573
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@@H]1C,0.4044688
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.4044688
CCCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@@H]1C,0.4044688
CCCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.4044688
C[C@@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.37338796
C[C@H]1CN[C@@H](c2ccccc2C2CC2)C1,0.37338796
C[C@@H]1CN[C@H](c2ccccc2C2CC2)C1,0.37338796
C[C@H]1CN[C@H](c2ccccc2C2CC2)C1,0.37338796
CCCN[C@@H](c1ccccc1C1CCC1)C1(C)CC1,0.41029003
CCCN[C@H](c1ccccc1C1CCC1)C1(C)CC1,0.41029003
NS(=O)(=O)c1c(C(F)(F)F)ccc(C2CC2)c1c1nn[nH]n1,0.29669744
CC(C)Cc1onc(c2ccccc2C2CC2)c1C(=O)O,0.26882777
CCOc1cc(C=O)cc(C2CC2)c1C1CCCC1,0.4022298
C[C@@]1(C(=O)N)C[N@H+](Cc2ccccc2C2CC2)C1,0.2215618
CC(C)CN1C(=NC[C@H]1c1ccccc1C1CC1)N,0.35696316
CC(C)CN1C(=NC[C@@H]1c1ccccc1C1CC1)N,0.35696316
CC(C)N1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.25418088
CC(C)N1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.25418088
CC(C)N1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.25418088
CC(C)N1CC[C@@H](CN)[C@@H]1c1ccccc1C1CC1,0.25418088
CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.38413912
CCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.26639703
CCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.26639703
CCCCn1c(N)c(c2ccccc2C2CC2)nc1CC,0.41042382
C=CCn1c(N)c(c2ccccc2C2CC2)nc1C(C)C,0.29026672
CCN[C@H](c1ccccc1C1CCC1)[C@H]1C[C@H]1C,0.38669565
CCN[C@H](c1ccccc1C1CCC1)[C@@H]1C[C@H]1C,0.38669565
CCCN1CC[C@H](CN)[C@@H]1c1ccccc1C1CC1,0.23465814
CCCN1CC[C@@H](CN)[C@H]1c1ccccc1C1CC1,0.23465814
CCCN1CC[C@H](CN)[C@H]1c1ccccc1C1CC1,0.23465814
